Teff	logg	M/Mo	Mbol	BC	U	B	V	R	I	J	H	K	u	g	r	i	z	y	b-y	u-b	v-y	V-I	G-R	U-V	U-G	B-V	Age
45000	7	0.353	3.368	-4.148	5.938	7.211	7.516	7.661	7.845	8.244	8.36	8.457	6.782	7.213	7.741	8.122	8.478	7.527	-0.137	-0.347	-0.19	-0.779	-0.758	-0.686	-0.423	-0.441	1.86E+05
50000	7	0.366	2.869	-4.494	5.763	7.051	7.363	7.51	7.696	8.098	8.215	8.311	6.607	7.056	7.589	7.973	8.33	7.375	-0.14	-0.369	-0.201	-0.782	-0.762	-0.709	-0.444	-0.447	1.16E+05
55000	7	0.379	2.417	-4.814	5.613	6.911	7.231	7.379	7.566	7.971	8.088	8.184	6.458	6.92	7.457	7.842	8.2	7.242	-0.141	-0.385	-0.21	-0.784	-0.766	-0.726	-0.459	-0.451	7.75E+04
60000	7	0.394	1.999	-5.108	5.475	6.782	7.107	7.256	7.445	7.851	7.968	8.065	6.32	6.793	7.334	7.72	8.079	7.118	-0.143	-0.397	-0.217	-0.787	-0.768	-0.739	-0.471	-0.455	5.58E+04
65000	7	0.411	1.605	-5.38	5.342	6.656	6.985	7.134	7.324	7.733	7.85	7.946	6.187	6.668	7.212	7.6	7.959	6.996	-0.144	-0.408	-0.223	-0.788	-0.771	-0.751	-0.482	-0.458	4.71E+04
70000	7	0.43	1.233	-5.632	5.212	6.533	6.865	7.016	7.207	7.617	7.734	7.831	6.058	6.546	7.094	7.482	7.842	6.877	-0.145	-0.417	-0.228	-0.79	-0.773	-0.76	-0.49	-0.461	4.41E+04
75000	7	0.452	0.879	-5.867	5.085	6.41	6.746	6.897	7.089	7.5	7.618	7.715	5.93	6.425	6.975	7.364	7.724	6.758	-0.146	-0.425	-0.232	-0.792	-0.775	-0.768	-0.498	-0.464	3.46E+04
80000	7	0.472	0.552	-6.086	4.97	6.299	6.638	6.79	6.983	7.395	7.514	7.611	5.815	6.316	6.867	7.258	7.618	6.65	-0.147	-0.431	-0.236	-0.793	-0.777	-0.776	-0.504	-0.466	2.81E+04
85000	7	0.489	0.251	-6.292	4.868	6.202	6.543	6.696	6.89	7.303	7.422	7.519	5.714	6.219	6.773	7.164	7.525	6.555	-0.148	-0.437	-0.239	-0.795	-0.778	-0.782	-0.51	-0.468	2.66E+04
90000	7	0.506	-0.034	-6.486	4.771	6.108	6.451	6.605	6.799	7.214	7.334	7.431	5.616	6.126	6.682	7.074	7.435	6.464	-0.149	-0.443	-0.243	-0.796	-0.78	-0.788	-0.514	-0.47	2.95E+04
100000	7	0.543	-0.569	-6.841	4.582	5.925	6.273	6.427	6.623	7.04	7.16	7.257	5.428	5.945	6.504	6.897	7.259	6.285	-0.15	-0.451	-0.248	-0.798	-0.783	-0.797	-0.523	-0.473	3.17E+04
110000	7	0.576	-1.046	-7.162	4.417	5.765	6.116	6.271	6.469	6.888	7.009	7.107	5.263	5.786	6.348	6.742	7.106	6.129	-0.152	-0.459	-0.252	-0.801	-0.786	-0.805	-0.53	-0.476	1.86E+04
120000	7	0.582	-1.437	-7.454	4.312	5.663	6.018	6.174	6.373	6.794	6.916	7.015	5.157	5.686	6.25	6.646	7.01	6.03	-0.153	-0.465	-0.256	-0.803	-0.788	-0.812	-0.536	-0.478	8.71E+03
1500	7.5	0.317	19.506	1.071	23.203	20.817	18.434	18.314	20.176	20.209	20.188	21.158	24.229	19.57	18.18	20.426	20.053	18.369	1.708	5.349	3.724	-2.565	0.229	6.213	4.856	2.807	1.58E+10
1750	7.5	0.317	18.836	0.87	22.479	20.302	17.966	17.628	18.872	18.965	19.084	19.943	23.47	19.11	17.529	19.171	18.929	17.929	1.663	4.984	3.567	-1.58	0.873	5.811	4.497	2.677	1.39E+10
2000	7.5	0.317	18.256	0.646	21.847	19.854	17.61	17.092	17.787	17.959	18.18	18.891	22.816	18.726	17.055	18.115	17.979	17.588	1.589	4.696	3.378	-0.759	1.38	5.454	4.208	2.522	1.23E+10
2250	7.5	0.317	17.744	0.42	21.291	19.463	17.324	16.666	16.898	17.116	17.419	17.991	22.241	18.395	16.713	17.263	17.184	17.307	1.508	4.428	3.198	-0.103	1.714	5.124	3.949	2.372	1.10E+10
2500	7.5	0.317	17.285	0.196	20.808	19.127	17.089	16.331	16.191	16.408	16.764	17.207	21.74	18.113	16.464	16.608	16.535	17.073	1.432	4.188	3.034	0.405	1.884	4.828	3.72	2.237	1.01E+10
2750	7.5	0.317	16.871	0.003	20.349	18.803	16.868	16.044	15.629	15.795	16.178	16.52	21.267	17.84	16.252	16.101	15.998	16.851	1.357	3.968	2.878	0.77	1.931	4.553	3.512	2.108	8.88E+09
3000	7.5	0.317	16.492	-0.164	19.906	18.49	16.656	15.802	15.207	15.251	15.635	15.896	20.811	17.577	16.063	15.725	15.572	16.639	1.283	3.757	2.726	0.996	1.897	4.289	3.313	1.981	7.77E+09
3250	7.5	0.318	16.144	-0.301	19.463	18.175	16.445	15.593	14.902	14.758	15.102	15.3	20.356	17.312	15.882	15.45	15.248	16.426	1.208	3.55	2.573	1.095	1.815	4.027	3.117	1.853	6.75E+09
3500	7.5	0.318	15.821	-0.406	19.006	17.849	16.227	15.4	14.676	14.324	14.589	14.729	19.888	17.039	15.698	15.236	15.003	16.208	1.131	3.339	2.416	1.104	1.705	3.761	2.919	1.722	5.70E+09
3750	7.5	0.319	15.519	-0.474	18.52	17.501	15.993	15.205	14.485	13.952	14.095	14.171	19.392	16.745	15.5	15.045	14.803	15.973	1.051	3.118	2.251	1.06	1.578	3.483	2.712	1.584	4.72E+09
4000	7.5	0.319	15.237	-0.491	17.97	17.107	15.728	14.992	14.299	13.657	13.647	13.656	18.83	16.412	15.277	14.851	14.62	15.708	0.961	2.869	2.064	0.978	1.429	3.171	2.478	1.428	4.16E+09
4250	7.5	0.32	14.972	-0.464	17.376	16.679	15.436	14.756	14.102	13.436	13.27	13.245	18.226	16.048	15.028	14.642	14.434	15.416	0.869	2.606	1.868	0.881	1.274	2.844	2.232	1.266	3.67E+09
4500	7.5	0.321	14.72	-0.407	16.758	16.233	15.126	14.505	13.896	13.261	12.977	12.924	17.599	15.666	14.763	14.421	14.243	15.107	0.779	2.336	1.671	0.776	1.118	2.512	1.978	1.104	3.14E+09
4750	7.5	0.323	14.479	-0.336	16.155	15.795	14.815	14.25	13.687	13.102	12.766	12.677	16.987	15.287	14.494	14.198	14.051	14.797	0.697	2.079	1.489	0.673	0.973	2.199	1.736	0.955	2.66E+09
5000	7.5	0.326	14.247	-0.266	15.574	15.376	14.513	14	13.482	12.95	12.609	12.507	16.399	14.921	14.231	13.978	13.862	14.495	0.624	1.827	1.323	0.575	0.839	1.902	1.503	0.82	2.16E+09
5250	7.5	0.329	14.022	-0.209	15.026	14.988	14.23	13.765	13.288	12.807	12.479	12.384	15.846	14.581	13.985	13.771	13.683	14.214	0.559	1.582	1.174	0.486	0.72	1.623	1.279	0.701	1.74E+09
5500	7.5	0.333	13.809	-0.169	14.526	14.644	13.978	13.555	13.115	12.679	12.369	12.285	15.342	14.278	13.765	13.586	13.523	13.962	0.504	1.345	1.046	0.406	0.615	1.365	1.07	0.598	1.51E+09
6000	7.5	0.338	13.415	-0.135	13.716	14.074	13.55	13.199	12.823	12.461	12.182	12.127	14.533	13.77	13.392	13.273	13.253	13.536	0.416	0.991	0.856	0.27	0.442	0.987	0.769	0.442	1.23E+09
6500	7.5	0.341	13.058	-0.136	13.129	13.62	13.194	12.9	12.578	12.28	12.034	12.002	13.949	13.356	13.081	13.012	13.027	13.182	0.35	0.798	0.73	0.158	0.305	0.765	0.604	0.333	1.02E+09
7000	7.5	0.343	12.729	-0.154	12.676	13.24	12.883	12.636	12.36	12.122	11.911	11.897	13.499	13.002	12.806	12.778	12.825	12.872	0.299	0.691	0.642	0.066	0.197	0.63	0.514	0.253	8.61E+08
7500	7.5	0.345	12.422	-0.181	12.308	12.909	12.603	12.395	12.159	11.978	11.802	11.803	13.134	12.69	12.557	12.565	12.64	12.594	0.258	0.635	0.58	-0.014	0.106	0.549	0.469	0.191	7.33E+08
8000	7.5	0.347	12.135	-0.211	11.999	12.614	12.346	12.174	11.974	11.847	11.705	11.716	12.828	12.407	12.328	12.368	12.469	12.337	0.223	0.612	0.535	-0.086	0.025	0.505	0.456	0.142	6.28E+08
8500	7.5	0.349	11.865	-0.24	11.733	12.345	12.106	11.967	11.803	11.725	11.614	11.635	12.565	12.146	12.114	12.184	12.312	12.097	0.191	0.614	0.504	-0.155	-0.049	0.487	0.466	0.104	5.41E+08
9000	7.5	0.352	11.61	-0.269	11.498	12.097	11.879	11.773	11.643	11.612	11.531	11.559	12.334	11.903	11.914	12.012	12.166	11.87	0.163	0.631	0.484	-0.223	-0.118	0.487	0.49	0.074	4.68E+08
9500	7.5	0.354	11.368	-0.298	11.287	11.867	11.666	11.592	11.495	11.507	11.453	11.488	12.125	11.678	11.728	11.853	12.032	11.658	0.137	0.655	0.47	-0.288	-0.183	0.496	0.519	0.05	4.07E+08
10000	7.5	0.356	11.138	-0.334	11.094	11.658	11.472	11.428	11.363	11.412	11.383	11.422	11.935	11.472	11.558	11.71	11.912	11.464	0.114	0.679	0.458	-0.351	-0.244	0.504	0.546	0.029	3.54E+08
10500	7.5	0.359	10.92	-0.386	10.924	11.477	11.306	11.288	11.252	11.331	11.323	11.364	11.767	11.294	11.414	11.589	11.812	11.297	0.092	0.694	0.446	-0.407	-0.299	0.506	0.565	0.009	3.10E+08
11000	7.5	0.361	10.711	-0.46	10.777	11.326	11.171	11.176	11.163	11.266	11.272	11.315	11.621	11.147	11.298	11.493	11.732	11.163	0.072	0.7	0.431	-0.454	-0.348	0.497	0.571	-0.01	2.72E+08
11500	7.5	0.363	10.513	-0.554	10.657	11.206	11.066	11.09	11.096	11.216	11.231	11.274	11.502	11.031	11.208	11.42	11.67	11.058	0.053	0.702	0.418	-0.492	-0.39	0.484	0.573	-0.029	2.38E+08
12000	7.5	0.364	10.322	-0.668	10.564	11.115	10.99	11.028	11.047	11.177	11.197	11.24	11.41	10.944	11.143	11.367	11.624	10.983	0.036	0.7	0.404	-0.519	-0.423	0.468	0.57	-0.046	2.10E+08
12500	7.5	0.366	10.139	-0.776	10.466	11.024	10.916	10.966	10.996	11.137	11.161	11.204	11.311	10.858	11.079	11.314	11.576	10.909	0.02	0.689	0.385	-0.543	-0.454	0.444	0.559	-0.066	1.85E+08
13000	7.5	0.368	9.964	-0.876	10.355	10.929	10.84	10.899	10.94	11.093	11.122	11.166	11.201	10.77	11.01	11.255	11.523	10.834	0.007	0.665	0.36	-0.563	-0.48	0.41	0.537	-0.089	1.63E+08
13500	7.5	0.37	9.795	-0.972	10.24	10.836	10.767	10.832	10.883	11.046	11.08	11.127	11.086	10.684	10.941	11.195	11.469	10.762	-0.003	0.631	0.332	-0.577	-0.5	0.368	0.506	-0.112	1.44E+08
14000	7.5	0.372	9.631	-1.067	10.127	10.748	10.698	10.769	10.827	11.001	11.04	11.088	10.973	10.604	10.876	11.137	11.415	10.694	-0.013	0.592	0.304	-0.589	-0.517	0.324	0.471	-0.133	1.27E+08
14500	7.5	0.373	9.474	-1.159	10.018	10.665	10.633	10.707	10.772	10.956	10.999	11.05	10.864	10.527	10.813	11.081	11.363	10.63	-0.02	0.553	0.278	-0.6	-0.532	0.279	0.434	-0.152	1.13E+08
15000	7.5	0.375	9.321	-1.249	9.912	10.586	10.57	10.648	10.719	10.913	10.959	11.012	10.758	10.454	10.752	11.026	11.312	10.568	-0.027	0.515	0.253	-0.609	-0.545	0.236	0.398	-0.169	9.98E+07
15500	7.5	0.377	9.174	-1.336	9.81	10.51	10.509	10.591	10.667	10.87	10.92	10.975	10.656	10.385	10.694	10.973	11.262	10.508	-0.033	0.476	0.231	-0.617	-0.556	0.194	0.362	-0.184	8.87E+07
16000	7.5	0.379	9.03	-1.42	9.711	10.437	10.451	10.535	10.617	10.828	10.881	10.938	10.557	10.318	10.637	10.921	11.213	10.45	-0.039	0.44	0.211	-0.625	-0.567	0.154	0.328	-0.198	7.89E+07
16500	7.5	0.381	8.891	-1.502	9.617	10.368	10.394	10.481	10.568	10.788	10.843	10.902	10.462	10.253	10.582	10.871	11.165	10.393	-0.044	0.404	0.192	-0.632	-0.576	0.116	0.294	-0.21	7.05E+07
17000	7.5	0.383	8.756	-1.582	9.525	10.3	10.338	10.429	10.52	10.747	10.806	10.867	10.371	10.191	10.528	10.821	11.119	10.339	-0.048	0.37	0.176	-0.639	-0.585	0.08	0.262	-0.221	6.32E+07
20000	7.5	0.394	8.019	-2.014	9.036	9.936	10.033	10.138	10.251	10.521	10.594	10.666	9.881	9.852	10.233	10.547	10.859	10.036	-0.071	0.197	0.094	-0.674	-0.629	-0.105	0.098	-0.273	3.17E+07
25000	7.5	0.411	7.003	-2.592	8.379	9.427	9.596	9.72	9.863	10.187	10.279	10.367	9.224	9.372	9.809	10.15	10.482	9.601	-0.098	-0.007	-0.003	-0.721	-0.685	-0.324	-0.096	-0.335	1.68E+07
30000	7.5	0.428	6.169	-3.013	7.797	8.956	9.182	9.32	9.486	9.853	9.962	10.063	8.642	8.926	9.404	9.767	10.114	9.19	-0.118	-0.165	-0.081	-0.755	-0.725	-0.493	-0.247	-0.382	9.66E+06
35000	7.5	0.45	5.445	-3.384	7.334	8.562	8.828	8.97	9.146	9.534	9.648	9.748	8.179	8.549	9.052	9.424	9.777	8.837	-0.128	-0.269	-0.136	-0.768	-0.742	-0.603	-0.347	-0.409	4.59E+06
40000	7.5	0.464	4.83	-3.774	7.058	8.318	8.605	8.749	8.93	9.327	9.443	9.542	7.903	8.314	8.83	9.207	9.563	8.615	-0.133	-0.319	-0.164	-0.776	-0.752	-0.655	-0.396	-0.424	3.10E+06
45000	7.5	0.48	4.283	-4.151	6.855	8.134	8.434	8.58	8.764	9.166	9.282	9.381	7.7	8.135	8.66	9.041	9.398	8.444	-0.137	-0.348	-0.181	-0.78	-0.758	-0.687	-0.424	-0.433	2.25E+06
50000	7.5	0.496	3.79	-4.5	6.689	7.981	8.29	8.438	8.624	9.029	9.146	9.244	7.533	7.986	8.517	8.9	9.258	8.3	-0.139	-0.369	-0.194	-0.784	-0.763	-0.709	-0.444	-0.44	1.69E+06
55000	7.5	0.512	3.341	-4.822	6.545	7.848	8.163	8.312	8.501	8.908	9.025	9.124	7.39	7.855	8.391	8.776	9.135	8.174	-0.141	-0.385	-0.204	-0.786	-0.766	-0.726	-0.46	-0.446	1.29E+06
60000	7.5	0.527	2.932	-5.119	6.418	7.729	8.05	8.2	8.39	8.799	8.917	9.015	7.263	7.739	8.279	8.665	9.025	8.062	-0.143	-0.398	-0.211	-0.789	-0.769	-0.74	-0.472	-0.45	9.63E+05
65000	7.5	0.541	2.555	-5.393	6.305	7.622	7.948	8.099	8.29	8.7	8.819	8.917	7.15	7.633	8.177	8.565	8.925	7.96	-0.144	-0.408	-0.218	-0.791	-0.772	-0.751	-0.482	-0.454	7.40E+05
70000	7.5	0.555	2.206	-5.648	6.201	7.523	7.854	8.005	8.197	8.609	8.728	8.826	7.046	7.537	8.083	8.472	8.832	7.865	-0.146	-0.417	-0.224	-0.792	-0.774	-0.76	-0.49	-0.457	5.68E+05
75000	7.5	0.569	1.88	-5.885	6.104	7.431	7.765	7.918	8.111	8.524	8.643	8.741	6.949	7.446	7.995	8.385	8.746	7.777	-0.147	-0.425	-0.229	-0.794	-0.776	-0.769	-0.498	-0.46	4.47E+05
80000	7.5	0.583	1.572	-6.107	6.01	7.342	7.679	7.832	8.026	8.44	8.56	8.657	6.855	7.358	7.909	8.3	8.662	7.691	-0.148	-0.432	-0.233	-0.795	-0.778	-0.776	-0.504	-0.463	3.54E+05
85000	7.5	0.599	1.281	-6.315	5.921	7.256	7.596	7.749	7.944	8.359	8.479	8.577	6.766	7.273	7.826	8.218	8.58	7.608	-0.149	-0.437	-0.237	-0.797	-0.78	-0.782	-0.51	-0.465	2.73E+05
90000	7.5	0.613	1.006	-6.511	5.836	7.175	7.517	7.671	7.867	8.283	8.403	8.501	6.682	7.193	7.748	8.141	8.503	7.53	-0.149	-0.443	-0.24	-0.798	-0.781	-0.788	-0.515	-0.467	2.06E+05
100000	7.5	0.639	0.503	-6.871	5.683	7.027	7.374	7.529	7.726	8.144	8.265	8.363	6.529	7.047	7.606	8	8.363	7.387	-0.151	-0.452	-0.246	-0.8	-0.784	-0.798	-0.523	-0.471	1.24E+05
110000	7.5	0.667	0.043	-7.196	5.539	6.888	7.239	7.394	7.593	8.012	8.133	8.232	6.385	6.909	7.471	7.866	8.23	7.251	-0.152	-0.459	-0.251	-0.802	-0.786	-0.806	-0.53	-0.474	8.94E+04
120000	7.5	0.699	-0.384	-7.491	5.4	6.752	7.106	7.263	7.462	7.883	8.005	8.104	6.246	6.775	7.339	7.735	8.1	7.119	-0.153	-0.465	-0.256	-0.804	-0.789	-0.813	-0.536	-0.476	7.29E+04
1500	8	0.575	20.108	1.126	23.487	21.203	18.982	18.988	20.914	20.838	20.793	21.753	24.5	20.017	18.852	21.197	20.772	18.901	1.581	5.203	3.528	-2.786	-0.155	5.938	4.691	2.64	1.48E+10
1750	8	0.575	19.438	0.941	22.836	20.73	18.498	18.271	19.622	19.623	19.698	20.538	23.82	19.578	18.163	19.938	19.662	18.447	1.588	4.879	3.44	-1.822	0.55	5.636	4.388	2.571	1.41E+10
2000	8	0.575	18.858	0.729	22.245	20.309	18.129	17.701	18.523	18.619	18.797	19.5	23.208	19.207	17.646	18.853	18.699	18.098	1.544	4.606	3.296	-0.994	1.126	5.326	4.119	2.454	1.35E+10
2250	8	0.575	18.347	0.512	21.718	19.935	17.835	17.249	17.608	17.794	18.063	18.631	22.661	18.884	17.269	17.965	17.886	17.813	1.482	4.356	3.143	-0.314	1.527	5.031	3.879	2.328	1.29E+10
2500	8	0.575	17.889	0.294	21.251	19.608	17.595	16.894	16.874	17.088	17.423	17.871	22.18	18.606	16.996	17.272	17.215	17.577	1.416	4.128	2.997	0.22	1.759	4.757	3.663	2.207	1.24E+10
2750	8	0.575	17.475	0.097	20.815	19.298	17.377	16.598	16.285	16.483	16.857	17.208	21.73	18.343	16.777	16.732	16.66	17.36	1.349	3.921	2.854	0.617	1.854	4.501	3.467	2.089	1.18E+10
3000	8	0.575	17.097	-0.073	20.391	18.996	17.17	16.347	15.829	15.938	16.324	16.594	21.294	18.087	16.586	16.324	16.208	17.151	1.28	3.724	2.713	0.883	1.853	4.255	3.282	1.971	1.13E+10
3250	8	0.576	16.749	-0.213	19.965	18.69	16.962	16.131	15.491	15.444	15.808	16.019	20.857	17.829	16.405	16.021	15.856	16.943	1.209	3.529	2.569	1.021	1.79	4.009	3.098	1.851	1.08E+10
3500	8	0.576	16.427	-0.324	19.528	18.375	16.75	15.936	15.245	15	15.307	15.466	20.409	17.563	16.224	15.793	15.589	16.73	1.135	3.331	2.42	1.058	1.692	3.759	2.913	1.727	1.03E+10
3750	8	0.576	16.126	-0.4	19.069	18.044	16.527	15.747	15.048	14.613	14.82	14.927	19.941	17.283	16.036	15.599	15.378	16.506	1.058	3.127	2.265	1.031	1.574	3.5	2.721	1.597	9.65E+09
4000	8	0.576	15.845	-0.431	18.552	17.672	16.277	15.545	14.866	14.294	14.364	14.41	19.413	16.969	15.826	15.412	15.195	16.256	0.972	2.896	2.088	0.961	1.433	3.208	2.505	1.449	9.01E+09
4250	8	0.577	15.581	-0.421	17.99	17.267	16.002	15.325	14.68	14.054	13.967	13.966	18.842	16.625	15.594	15.216	15.017	15.982	0.882	2.648	1.9	0.87	1.282	2.896	2.272	1.292	8.35E+09
4500	8	0.578	15.332	-0.379	17.4	16.842	15.711	15.089	14.485	13.87	13.648	13.621	18.242	16.262	15.346	15.008	14.835	15.691	0.793	2.389	1.708	0.772	1.131	2.575	2.028	1.134	7.58E+09
4750	8	0.578	15.095	-0.319	16.811	16.417	15.414	14.847	14.287	13.713	13.414	13.348	17.645	15.896	15.09	14.796	14.653	15.395	0.71	2.133	1.524	0.671	0.985	2.262	1.788	0.983	6.74E+09
5000	8	0.58	14.87	-0.255	16.251	16.012	15.126	14.611	14.094	13.57	13.248	13.157	17.078	15.545	14.841	14.589	14.475	15.108	0.636	1.891	1.358	0.576	0.852	1.973	1.563	0.848	5.69E+09
5250	8	0.582	14.654	-0.198	15.723	15.634	14.853	14.385	13.91	13.435	13.119	13.028	16.544	15.214	14.605	14.392	14.305	14.836	0.571	1.659	1.21	0.487	0.732	1.703	1.35	0.729	4.40E+09
5500	8	0.584	14.447	-0.156	15.235	15.291	14.603	14.178	13.74	13.311	13.01	12.928	16.053	14.914	14.388	14.21	14.149	14.587	0.514	1.438	1.079	0.407	0.626	1.454	1.15	0.624	3.17E+09
6000	8	0.588	14.063	-0.117	14.403	14.718	14.181	13.828	13.453	13.1	12.831	12.774	15.218	14.407	14.022	13.902	13.884	14.167	0.422	1.053	0.874	0.271	0.449	1.04	0.816	0.458	2.24E+09
6500	8	0.59	13.712	-0.121	13.786	14.264	13.832	13.538	13.216	12.925	12.686	12.652	14.604	13.998	13.719	13.649	13.666	13.82	0.354	0.816	0.737	0.159	0.31	0.78	0.616	0.341	1.83E+09
7000	8	0.592	13.387	-0.144	13.318	13.889	13.531	13.284	13.007	12.773	12.566	12.551	14.139	13.652	13.455	13.425	13.473	13.52	0.302	0.683	0.644	0.066	0.2	0.621	0.503	0.257	1.52E+09
7500	8	0.593	13.084	-0.177	12.943	13.567	13.261	13.053	12.815	12.637	12.461	12.461	13.767	13.349	13.216	13.221	13.296	13.251	0.26	0.608	0.58	-0.012	0.109	0.523	0.441	0.195	1.27E+09
8000	8	0.595	12.801	-0.212	12.631	13.282	13.014	12.84	12.637	12.511	12.367	12.378	13.458	13.077	12.995	13.031	13.132	13.004	0.226	0.57	0.536	-0.082	0.032	0.464	0.413	0.148	1.08E+09
8500	8	0.596	12.535	-0.249	12.363	13.024	12.784	12.642	12.472	12.395	12.28	12.301	13.192	12.828	12.791	12.855	12.98	12.775	0.196	0.556	0.507	-0.146	-0.038	0.433	0.407	0.112	9.17E+08
9000	8	0.598	12.285	-0.283	12.128	12.788	12.568	12.456	12.318	12.287	12.2	12.228	12.959	12.597	12.599	12.69	12.839	12.559	0.17	0.558	0.488	-0.209	-0.102	0.419	0.415	0.085	7.92E+08
9500	8	0.599	12.047	-0.318	11.915	12.57	12.365	12.282	12.174	12.187	12.124	12.159	12.749	12.383	12.42	12.536	12.708	12.356	0.147	0.568	0.477	-0.269	-0.162	0.416	0.43	0.064	6.89E+08
10000	8	0.6	11.822	-0.354	11.722	12.37	12.176	12.122	12.043	12.095	12.054	12.095	12.557	12.185	12.255	12.394	12.59	12.167	0.127	0.581	0.47	-0.328	-0.217	0.417	0.447	0.049	6.03E+08
10500	8	0.602	11.607	-0.4	11.547	12.19	12.008	11.98	11.928	12.013	11.992	12.037	12.384	12.008	12.109	12.27	12.486	11.998	0.108	0.591	0.464	-0.382	-0.268	0.415	0.46	0.035	5.31E+08
11000	8	0.603	11.403	-0.463	11.393	12.037	11.866	11.861	11.833	11.945	11.939	11.987	12.232	11.857	11.986	12.166	12.4	11.856	0.091	0.593	0.455	-0.429	-0.313	0.407	0.464	0.021	4.70E+08
11500	8	0.604	11.208	-0.542	11.258	11.907	11.749	11.763	11.755	11.888	11.893	11.943	12.098	11.732	11.885	12.082	12.329	11.74	0.075	0.589	0.444	-0.469	-0.353	0.392	0.461	0.007	4.18E+08
12000	8	0.606	11.021	-0.633	11.144	11.799	11.654	11.684	11.693	11.842	11.855	11.907	11.985	11.627	11.802	12.015	12.272	11.644	0.06	0.584	0.433	-0.503	-0.388	0.377	0.456	-0.007	3.74E+08
12500	8	0.607	10.841	-0.742	11.058	11.717	11.584	11.626	11.648	11.807	11.826	11.878	11.899	11.548	11.742	11.966	12.231	11.574	0.046	0.58	0.423	-0.528	-0.417	0.362	0.452	-0.019	3.35E+08
13000	8	0.608	10.669	-0.854	10.979	11.644	11.523	11.576	11.607	11.775	11.798	11.85	11.82	11.479	11.69	11.924	12.193	11.514	0.033	0.573	0.411	-0.549	-0.442	0.345	0.444	-0.032	3.01E+08
13500	8	0.609	10.503	-0.956	10.891	11.565	11.458	11.521	11.563	11.74	11.767	11.82	11.732	11.404	11.633	11.877	12.151	11.45	0.02	0.559	0.394	-0.569	-0.467	0.322	0.431	-0.049	2.70E+08
14000	8	0.61	10.343	-1.05	10.794	11.482	11.393	11.464	11.515	11.701	11.733	11.787	11.635	11.328	11.573	11.826	12.106	11.386	0.009	0.537	0.372	-0.586	-0.49	0.29	0.411	-0.07	2.43E+08
14500	8	0.611	10.188	-1.142	10.695	11.402	11.33	11.406	11.466	11.662	11.698	11.754	11.537	11.254	11.515	11.775	12.059	11.324	-0.001	0.508	0.347	-0.599	-0.509	0.254	0.385	-0.091	2.19E+08
15000	8	0.613	10.039	-1.232	10.597	11.325	11.271	11.351	11.418	11.623	11.663	11.721	11.439	11.183	11.458	11.725	12.013	11.265	-0.01	0.476	0.322	-0.61	-0.524	0.216	0.356	-0.111	1.97E+08
15500	8	0.614	9.895	-1.319	10.501	11.251	11.213	11.298	11.371	11.584	11.628	11.688	11.344	11.116	11.403	11.676	11.968	11.209	-0.018	0.443	0.297	-0.619	-0.538	0.178	0.326	-0.129	1.78E+08
16000	8	0.615	9.755	-1.404	10.409	11.181	11.159	11.246	11.324	11.546	11.594	11.656	11.251	11.052	11.35	11.628	11.923	11.155	-0.024	0.41	0.275	-0.627	-0.551	0.14	0.295	-0.146	1.60E+08
16500	8	0.616	9.619	-1.486	10.319	11.113	11.105	11.196	11.279	11.509	11.56	11.623	11.162	10.989	11.298	11.582	11.88	11.102	-0.031	0.378	0.254	-0.635	-0.562	0.104	0.265	-0.161	1.45E+08
17000	8	0.617	9.488	-1.566	10.233	11.048	11.054	11.147	11.235	11.473	11.527	11.592	11.075	10.93	11.249	11.537	11.837	11.051	-0.036	0.346	0.234	-0.642	-0.572	0.069	0.236	-0.174	1.30E+08
20000	8	0.624	8.77	-2	9.768	10.699	10.77	10.877	10.99	11.267	11.337	11.412	10.61	10.607	10.974	11.284	11.599	10.77	-0.062	0.181	0.141	-0.677	-0.621	-0.112	0.08	-0.236	6.90E+07
25000	8	0.635	7.782	-2.578	9.139	10.21	10.36	10.487	10.629	10.959	11.049	11.14	9.982	10.151	10.577	10.915	11.249	10.364	-0.092	-0.019	0.031	-0.724	-0.68	-0.33	-0.109	-0.308	2.22E+07
30000	8	0.646	6.972	-3.001	8.583	9.758	9.972	10.112	10.276	10.648	10.755	10.857	9.426	9.726	10.197	10.557	10.905	9.979	-0.114	-0.174	-0.058	-0.757	-0.722	-0.497	-0.256	-0.361	9.24E+06
35000	8	0.661	6.277	-3.378	8.159	9.396	9.655	9.798	9.973	10.364	10.477	10.579	9.003	9.382	9.881	10.251	10.605	9.663	-0.126	-0.273	-0.121	-0.77	-0.741	-0.604	-0.352	-0.395	6.33E+06
40000	8	0.672	5.679	-3.773	7.905	9.172	9.452	9.598	9.779	10.178	10.294	10.395	8.749	9.167	9.679	10.056	10.412	9.462	-0.131	-0.321	-0.152	-0.777	-0.751	-0.655	-0.398	-0.412	4.02E+06
45000	8	0.682	5.151	-4.152	7.724	9.009	9.303	9.451	9.635	10.039	10.156	10.256	8.568	9.009	9.531	9.911	10.269	9.313	-0.135	-0.35	-0.172	-0.782	-0.758	-0.687	-0.426	-0.424	2.81E+06
50000	8	0.694	4.676	-4.503	7.578	8.875	9.179	9.328	9.515	9.922	10.04	10.14	8.422	8.879	9.408	9.79	10.149	9.189	-0.138	-0.37	-0.186	-0.785	-0.763	-0.709	-0.446	-0.432	1.82E+06
