Teff	logg	M/Mo	Mbol	BC	U	B	V	R	I	J	H	K	u	g	r	i	z	y	b-y	u-b	v-y	V-I	G-R	U-V	U-G	B-V	Age
8000	9.5	1.366	15.649	-0.19	15.392	16.095	15.838	15.668	15.46	15.34	15.2	15.211	16.214	15.9	15.826	15.854	15.954	15.828	0.231	0.5	0.515	-0.08	0.036	0.394	0.337	0.156	2.19E+09
8500	9.5	1.366	15.385	-0.246	15.108	15.857	15.632	15.491	15.311	15.236	15.118	15.139	15.933	15.675	15.644	15.695	15.816	15.622	0.204	0.442	0.479	-0.138	-0.028	0.323	0.29	0.121	2.08E+09
9000	9.5	1.366	15.137	-0.301	14.864	15.643	15.439	15.324	15.17	15.138	15.041	15.07	15.69	15.469	15.472	15.546	15.686	15.429	0.181	0.407	0.458	-0.191	-0.082	0.277	0.262	0.097	1.99E+09
9500	9.5	1.366	14.902	-0.355	14.647	15.448	15.257	15.167	15.037	15.046	14.967	15.004	15.475	15.279	15.311	15.404	15.564	15.247	0.164	0.385	0.447	-0.24	-0.13	0.246	0.245	0.083	1.91E+09
10000	9.5	1.366	14.679	-0.406	14.451	15.268	15.086	15.017	14.91	14.96	14.897	14.939	15.28	15.102	15.158	15.269	15.448	15.075	0.15	0.371	0.442	-0.287	-0.171	0.226	0.235	0.075	1.83E+09
10500	9.5	1.366	14.468	-0.456	14.269	15.1	14.923	14.876	14.791	14.878	14.829	14.876	15.099	14.936	15.013	15.142	15.338	14.911	0.138	0.361	0.441	-0.331	-0.207	0.211	0.227	0.071	1.75E+09
11000	9.5	1.366	14.265	-0.506	14.101	14.944	14.772	14.744	14.679	14.801	14.764	14.816	14.932	14.782	14.878	15.023	15.236	14.759	0.129	0.352	0.441	-0.373	-0.241	0.199	0.219	0.07	1.69E+09
11500	9.5	1.366	14.072	-0.562	13.947	14.801	14.635	14.626	14.58	14.73	14.705	14.76	14.778	14.641	14.756	14.916	15.145	14.621	0.12	0.341	0.439	-0.411	-0.271	0.185	0.209	0.068	1.63E+09
12000	9.5	1.366	13.887	-0.629	13.807	14.676	14.516	14.523	14.494	14.669	14.652	14.709	14.639	14.519	14.651	14.825	15.066	14.501	0.113	0.326	0.434	-0.445	-0.299	0.168	0.195	0.064	1.58E+09
12500	9.5	1.366	13.71	-0.704	13.681	14.565	14.414	14.434	14.42	14.614	14.604	14.665	14.514	14.411	14.559	14.746	14.998	14.399	0.106	0.307	0.425	-0.474	-0.323	0.146	0.177	0.057	1.52E+09
13000	9.5	1.366	13.54	-0.785	13.565	14.465	14.325	14.356	14.354	14.565	14.562	14.624	14.399	14.315	14.479	14.677	14.938	14.309	0.098	0.288	0.413	-0.499	-0.346	0.123	0.158	0.049	1.46E+09
13500	9.5	1.366	13.376	-0.869	13.459	14.374	14.244	14.287	14.296	14.52	14.523	14.588	14.293	14.228	14.407	14.615	14.884	14.229	0.09	0.268	0.4	-0.522	-0.367	0.099	0.14	0.04	1.41E+09
