#DataThief /Users/vbailey/Downloads/image.png Sunday 26-Aug-2018 4:33:25 PM
#From PALMS survey paper IV
#http://iopscience.iop.org/article/10.1088/0067-0049/216/1/7
#target = NLTT 6549, R~12; h-band image, 600s, 22dgr rot, SR=0.35
arcsec, dmag
3.4235, 14.8029
3.4514, 14.8029
3.4794, 14.8028
3.5078, 14.8028
3.5363, 14.8028
3.5651, 14.8027
3.5941, 14.8027
3.6233, 14.8027
3.6528, 14.8027
3.6825, 14.8026
3.7125, 14.8026
3.7427, 14.8026
3.7731, 14.8026
3.8037, 14.8025
3.8348, 14.8025
3.8659, 14.8555
3.8974, 14.8555
3.9291, 14.8555
3.9609, 14.8555
3.9933, 14.8554
4.0258, 14.8554
4.0585, 14.8554
4.0916, 14.8023
4.1249, 14.8023
4.1585, 14.8022
4.1923, 14.8022
4.2265, 14.749
4.2609, 14.749
4.2957, 14.696
4.3306, 14.696
4.366, 14.6429
4.4015, 14.6429
4.4016, 14.5899
4.4374, 14.5897
4.4735, 14.5897
4.5099, 14.5897
4.5466, 14.5897
4.5836, 14.5897
4.6209, 14.5897
4.6585, 14.5897
4.6964, 14.5897
4.7346, 14.5896
4.7731, 14.5896
4.812, 14.5896
4.8511, 14.5895
4.8906, 14.5895
4.9304, 14.5895
4.9705, 14.5895
5.0109, 14.5894
5.0517, 14.5894
5.0928, 14.5894
5.1342, 14.5894
5.1761, 14.5363
5.2182, 14.5363
5.2608, 14.4832
5.3035, 14.4832
5.3468, 14.483
5.3902, 14.483
5.4341, 14.483
5.4783, 14.483
5.5229, 14.483
5.5678, 14.483
5.6132, 14.483
5.6588, 14.4828
5.7048, 14.4828
5.7513, 14.4298
5.7982, 14.4298
5.8453, 14.4828
5.8928, 14.4828
5.9407, 14.4828
5.9891, 14.4828
6.0378, 14.4827
6.038, 14.4297
6.0872, 14.3766
6.1369, 14.3235
6.187, 14.2705
6.2373, 14.2704
6.288, 14.2704
6.3393, 14.2173
6.3909, 14.2173
6.4431, 14.1642
6.4955, 14.1642
6.5485, 14.1111
6.6018, 14.1111
6.6556, 14.058
6.7098, 14.058
