arcsec, 5sigHcontr
0.5145, 8.833e-6
0.5156, 8.7739e-6
0.5167, 8.7153e-6
0.5179, 8.657e-6
0.519, 8.5992e-6
0.5201, 8.5993e-6
0.5211, 8.5418e-6
0.5223, 8.4847e-6
0.5234, 8.428e-6
0.5246, 8.3717e-6
0.5257, 8.3157e-6
0.5268, 8.2601e-6
0.5279, 8.2049e-6
0.529, 8.1501e-6
0.5301, 8.0956e-6
0.5312, 8.0415e-6
0.5324, 7.9878e-6
0.5335, 7.9344e-6
0.5335, 7.8813e-6
0.5346, 7.8814e-6
0.5346, 7.8286e-6
0.5356, 7.8287e-6
0.5356, 7.7763e-6
0.5368, 7.7764e-6
0.5368, 7.7244e-6
0.5379, 7.7244e-6
0.5379, 7.6727e-6
0.5391, 7.6215e-6
0.5402, 7.5705e-6
0.5413, 7.5199e-6
0.5424, 7.4697e-6
0.5434, 7.4198e-6
0.5446, 7.3702e-6
0.5457, 7.3209e-6
0.5469, 7.272e-6
0.548, 7.2234e-6
0.5491, 7.2234e-6
0.5491, 7.1751e-6
0.5502, 7.1752e-6
0.5513, 7.1752e-6
0.5525, 7.1273e-6
0.5525, 7.0796e-6
0.5535, 7.0796e-6
0.5535, 7.0323e-6
0.5547, 7.0323e-6
0.5558, 6.9853e-6
0.5569, 6.9386e-6
0.558, 6.8923e-6
0.5592, 6.8923e-6
0.5603, 6.8462e-6
0.5614, 6.8005e-6
0.5625, 6.8005e-6
0.5636, 6.7551e-6
0.5647, 6.71e-6
0.5657, 6.71e-6
0.567, 6.6652e-6
0.5681, 6.6206e-6
0.5692, 6.6207e-6
0.5703, 6.5764e-6
0.5714, 6.5325e-6
0.5725, 6.5325e-6
0.5737, 6.4889e-6
0.5748, 6.4455e-6
0.5758, 6.4024e-6
0.577, 6.4025e-6
0.5781, 6.3597e-6
0.5792, 6.3172e-6
0.5804, 6.275e-6
0.5815, 6.233e-6
0.5826, 6.2331e-6
0.5836, 6.1914e-6
0.5848, 6.15e-6
0.5859, 6.1089e-6
0.5871, 6.0681e-6
0.5882, 6.0681e-6
0.5893, 6.0276e-6
0.5904, 5.9873e-6
0.5915, 5.9874e-6
0.5926, 5.9473e-6
0.5937, 5.9474e-6
0.5949, 5.9076e-6
0.596, 5.9077e-6
0.5971, 5.9077e-6
